modelId,since-create,since-last-model-update,has-license,what-license,what-library,what-task,num-commit,num-discussion,model-size,num-update,update-interval,since-last-update,num-update-contributor,isEnglish,num-code-block,num-inline-code,num-list,num-link,num-img,num-table,num-emoji,num-heading,num-word,has-description,has-uses,has-limitations-and-bias,has-training,has-evaluation,quality
ostapeno/adauniNeo1B_sciq_Multiple_Choice_sormalTrue_sbsmpl2,-0.670592563,-0.602106646,-1.252793489,-0.810340341,-1.584000031,-1.361188309,4.459440998,-0.121623863,-0.214127239,2.824984588,-0.900498271,-0.62288693,-0.260176026,-4.926120854,-0.414581599,-0.326488017,-0.70701417,-0.414201293,-0.100524931,0.604294654,-0.136523566,-0.787989306,-0.269738238,-1.852767805,1.173105088,-0.242196651,1.173105088,-0.580396994,0
tensitalromania/TensitalRomania,-0.677768372,-0.610703228,-1.252793489,-0.810340341,-1.584000031,-1.361188309,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.332228967,-0.630747029,-0.260176026,-4.926120854,-0.414581599,-0.326488017,-0.70701417,0.803239992,-0.057377764,-0.486313316,-0.136523566,-0.787989306,-0.26520037,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
DiaherbalThai/DiaherbalcapsuleThailand,-0.681356276,-0.615001519,-1.252793489,-0.810340341,-1.584000031,-1.361188309,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.3373028,-0.634677079,-0.260176026,-4.926120854,-0.414581599,-0.326488017,-0.70701417,-0.076023159,-0.057377764,-0.486313316,-0.136523566,-0.787989306,-0.334402858,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
adamo1139/LLaMa-30B-AEZAKMI-v2-LoRA,-0.688532085,-0.675177593,0.798216154,2.100740125,1.217981431,0.690065644,0.067349516,-0.121623863,-0.171021843,0.85447435,-0.859907606,-0.689697773,-0.260176026,0.202999486,0.113130999,-0.326488017,-0.70701417,-0.346565666,-0.100524931,-0.486313316,-0.136523566,-0.594533146,-0.169905142,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
alirzb/S1_M1_R3_BEiT_42621220,-0.692119989,-0.627896392,0.798216154,-0.461010685,0.299298984,-0.403936464,-0.16081108,-0.121623863,-0.203087066,-0.358147335,-0.352524299,-0.646467228,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.2538557,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
Plasmaskin/PlasmaskinItaly,-0.699295798,-0.636492974,-1.252793489,-0.810340341,-1.584000031,-1.361188309,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.362671965,-0.654327327,-0.260176026,-4.926120854,-0.414581599,-0.326488017,-0.70701417,0.262154976,-0.014230596,-0.486313316,-0.136523566,-0.787989306,-0.074609914,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
alirzb/S2_M1_R3_Wav2Vec_42738245,-0.702883702,-0.640791265,0.798216154,-0.461010685,1.217981431,-1.224438045,-0.16081108,-0.121623863,-0.201955435,-0.358147335,-0.367745798,-0.658257376,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.250452299,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
zorooo/MathLlama-7b,-0.706471606,-0.657984429,-1.252793489,-0.810340341,-0.57344934,-1.361188309,0.409590411,-0.121623863,0.240069873,0.096585797,-0.788873943,-0.673977575,-0.260176026,0.202999486,-0.1507253,-0.155223022,0.580086979,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.058727376,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
jysssacc/627_roberta-base_adalora_lr0.05_bs4_epoch5_wd0.01,-0.713647415,-0.653686138,0.798216154,1.634967251,-0.57344934,-1.361188309,-0.446011826,-0.121623863,-0.213867479,-0.358147335,-0.382967298,-0.670047525,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.419199335,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.26520037,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
sst1/openhermes-mistral-dpo-gptq,-0.717235319,-0.657984429,-1.252793489,-0.810340341,-0.57344934,-1.361188309,-0.446011826,-0.121623863,-0.213687975,-0.206569624,-0.656954284,-0.673977575,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.278930039,-0.100524931,-0.486313316,-0.136523566,2.790949652,-0.058727376,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
aisuko/ft-vit-base-patch16-224-in21k-on-food101-lora,-0.720823223,-0.864302398,0.798216154,-0.461010685,-0.57344934,-1.361188309,0.181429815,-0.121623863,-0.213774849,0.248163508,-0.819316942,-0.862619953,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.26520037,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
tmnam20/mdeberta-v3-base-wnli-100,-0.727999032,-0.670879302,0.798216154,1.634967251,1.217981431,0.55331538,0.238469964,-0.121623863,-0.178244,-0.358147335,-0.40326263,-0.685767723,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.338755513,-0.346565666,-0.100524931,-0.486313316,-0.136523566,-0.014164666,-0.296965446,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
tzs/q-FrozenLake-v1-4x4-noSlippery,-0.731586936,-0.675177593,-1.252793489,-0.810340341,-1.584000031,0.416565117,-0.446011826,-0.121623863,-0.214127239,-0.358147335,-0.408336463,-0.689697773,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.70701417,-0.414201293,-0.100524931,-0.486313316,-0.136523566,-0.594533146,-0.354823264,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,1
EleutherAI/pythia-2.8b-addition_increment0,-0.735174841,-0.765441705,0.798216154,-0.461010685,0.483035474,-1.361188309,12.61618232,-0.121623863,-0.213535811,-0.358147335,-0.514886957,-0.772228813,-0.260176026,0.202999486,-0.414581599,-0.326488017,-0.626570348,-0.008387532,-0.100524931,-0.486313316,-0.136523566,0.179291494,-0.071206513,0.53973304,1.173105088,4.128876245,1.173105088,1.722958615,0
FounderOfHuggingface/gpt2_lora_r4_e2e_nlg_t3000_e5_member_shadow27,-0.738762745,-0.683774175,-1.252793489,-0.810340341,-0.57344934,-1.361188309,-0.446011826,-0.121623863,-0.214094756,-0.358147335,-0.418484129,-0.697557872,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.278930039,-0.100524931,-0.486313316,-0.136523566,2.790949652,-0.058727376,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
ucsahin/mT5-base-turkish-qa,-0.742350649,-0.692370757,0.798216154,-0.461010685,1.217981431,1.237066698,-0.16081108,-0.121623863,-0.139172349,0.248163508,-0.824390775,-0.705417971,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.161963873,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
sandeepsundaram/t5_large_fine_tuning_lora_question_answering_hc3_and_chatgpt_prompts_200rows,-0.749526458,-0.696669048,-1.252793489,-0.810340341,1.217981431,-1.361188309,-0.16081108,-0.121623863,-0.213822305,-0.358147335,-0.433705628,-0.709348021,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.580086979,-0.278930039,-0.100524931,-0.486313316,0.089425917,2.694221572,-0.037172503,-1.852767805,-0.852438549,-0.242196651,-0.852438549,-0.580396994,0
adaca001/clasificador-muchocine,-0.753114362,-0.70096734,-1.252793489,-0.810340341,-1.538065908,-1.361188309,-0.388971676,-0.121623863,-0.199988274,-0.206569624,-0.682323449,-0.71327807,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.338755513,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.270872705,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
varun-v-rao/t5-base-snli-model2,-0.760290171,-0.709563922,0.798216154,-0.461010685,1.080179064,0.55331538,-0.274891378,-0.121623863,-0.185362533,-0.358147335,-0.448927128,-0.721138169,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.338755513,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.272007172,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
